Index;Rocnik;Proza/Basen;Obsah
11;2;P;"„Čo je tam, stará mama? spytuje sa dievčatko. „Pivnicá, Vieročka.“ „A môžem ta ísť?“ „Nie, nie, dieťa! V pivnici je tma, ešte by si sa udrela. A vieš...“  dodala tajomne, „tam býva bubák.“ Vierka vyvalila oči: „Bubák? A čo tam robí?“ „No, stráži nám pivnicu. „A on je aký?“ Jaj, radšej sa nespytuj!"" povedala stará mama a tíško sa zasmiala. Raz sa dievčatko hralo na dvore. Vtom sa mu lopta zakotúľala pivničným dverám. Ba či sú ozaj zamknuté? pomyslelo si a stislo kľučku. Dvere povolili a tichučko zakvílili. „Čo keby som sa pozrela, ako tam bubák stráži? zišlo na um Vierke. A už schádza pomaličky dolu schodmi. Aha, tu sú ešte druhé dvere. Aj tie opatrne otvorí. V pivnici je chladno a naozaj tma, ale nie zas až taká strašná. A príjemne to tu vonia - čo vlastne? Čo to tu tak nezvyčajne vonia? A kde je bubák? O chvíľu si oči zvykli na prítmie a Vierka začala rozoznávať: v kúte stojí sud ? kapustou, za doštenou zápravou je hŕba zemiakov. To ony tak voňajú? Nikdy by nepovedala, ako príjemne voňajú zemiaky, keď' si tu tak pekne na kope ležia. Ale kde je bubák? Možno sa zľakol a skryl sa za sud...   Kuk, si tu? Hľadá Vierka za sudom i po všetkých kútoch- bubáka nikde. „Vierka, Vieročka, kde si?"" zaznel zvonku ustráchaný hlas. „Tu som, stará mama,"" vybehlo dievčatko z pivnice.“ Zabudla si si sem dať bubáka, tak ti strážim zemiaky a kapustu ja."
12;2;P;"Bol krásny deň a dráčikovi Háčikovi sa výborne letelo. Po chvíli ho však začali bolieť krídla. Práve letel okolo stromu a chvost sa mu zamotal do konárov. Sadol si teda na vetvu a odpočíval. „Podarilo sa mi zmiznúť. Nikto nič nezbadal. Dobre, že ma ocko naučil tak lietať. Možno budú rodičia z môjho odchodu smutní, ale keď' sa dozvedia o mojich hrdinstvách, dobrá nálada sa im rýchlo vráti,"" rozprával sám sebe dráčik Háčik. Ledva to dopovedal, už pred ním na konári poskakuje strapaté vrabča. A hneď doňho: „A ty si kto? „Kto akože je kto? nechápal zaskočený Háčik. „No ty, čo vyzeráš ako kyslá uhorka týždeň bez nálevu. A prečo sedíš na našom strome? „Ja tu nesedím. Ja som pristál. Toto je náš javor, odjakživa patrí vrabcom a nie je to nijaký prístav,"" zlostí sa strapáčik. „Tak prepáč. Vieš, ja som dráčik a volajú ma Háčik, lebo rád háčkujem."" „Ale ty nie si naozajstný drak!"" „,Som naozajstný, len trochu menší."" „Ja som už videl draka. Bol veľký, gúľal Očami a chrlil oheň."" „Aj ja viem gúľať očami,"" nedal sa Háčik. „Tak za gúľaj."" „Dobre ma sleduj!"" Háčik gúľal očami, až z toho. očervenel. Vrabča sa len zasmialo. „Takto viem gúľať i ja. Vôbec sa ta nebojím. A oheň chrliť vieš?"" „To som sa ešte nenaučil. Ale keď' budem veľký, budem chrliť strašný oheň."" strome? Veď si ho mohol zlomiť. Kde by sme potom bývali? Há? „No dobre, tak sa ta ešte nebojím. Ale prečo si pristál na našom „Vlastne som tu ani nepristál, Ako som si tak letel, zrazu sa mi zamotal chvost do konárov."""
13;2;B;Nemá rúk ani luk, strieľa do nás lúče. Čo je to? ale zato rúče Hovorí dážď, že má sestru, sestru krásnu, sestru pestrú. Čo je to? Letia nebom húsky, majú sivé blúzky. Dýchol víchor na húsky, rozkmásal ich na kúsky. Čo je to? V noci pasie zlaté ráno končí jeho vláda. stáda, Čo je to? Nemá krídel, nemá úst, vie však lietať, vie však húsť. Čo je to? o Sedí pani v údolí, z fajky sa jej kúdolí. Čo je to?
14;2;P;"Do našej dediny sa po sparnom lete doterigala ponurá jeseň. Jeseň sa začína v septembri, a to mamička lastovička už dávno vie. Ale jej deti Darinka a Roman ešte nevedia, čo znamená september pre lastovičky. Mamička nachystala chutné raňajky. Lastovíčatá sa najedli, ale aj vytušili, že im mamička chce čosi dôležité oznámiť. Po raňajkách priniesla z lastovičej komôrky niečo veľké papierové. „Čo je to?"" spýtala sa Darinka. „Mapa,"" povedala mama a rozprestrela veľký papier na malom stole. ,Čo je to mapa?"" spýtal sa Roman, lebo také slovo ešte nepočul. „To je zaznačený a nakreslený celý svet - moria, rieky, hory, jazerá, krajiny. Aha, toto zelené, to sú roviny, hnedé sú zase pohoria a modré rieky a moria."" „A kde sme my? spýtala sa Darinka. „Tu je naša krajina,"" ukázala mamička na mape malé miesto. „A tu neďaleko od Piešťan bývame my!"" „Akí sme maličkí!"" zhíkli deti. „AKO sa sem všetci pomestíme?"" „Dobrých ľudí a lastovičiek sa všade veľa zmestí,"" povedala mamka lastovička. Deti si obzerali mapu a krídelkami mávali nad hnedými horami a modrými vodami. „Deti, je tu september a vtedy lastovičky odlietajú sem,"" oznámila mama a ukázala krídelkom na svetadiel s nápisom Afrika. „A prečo?"" „Aby sme tu v zime nezamrzli. A aby sme aj v teplých krajinách - ako tu - pochytali všetky muchy. Ideme sa chystať na cestu."" Deti sa pozreli na mapu, po ktorej sa krídlami zniesli až k severnej Afrike. „Ale to je ďaleko, hrozne ďaleko."" „Ďaleko, deti, ďaleko."" Deti si trochu smutné - poupratovali detskú izbu, mamička zatvorila okná a dvere a spolu odleteli na Školskú ulicu, kde už na elektrických drôtoch sedeli stovky lastovičiek. Mamička s deťmi prileteli k vedúcemu letu. „Kedy sa odlieta, pán vedúci?"" „Čoskoro, večer - o šiestej. A deti sa tešia?* „Tak napoly,"" povedala Darinka."" Bude nám smutno, lebo tu necháme našich kamarátov Ninku a Filipa."" „Sú to naši najväčší kamaráti, vlastne ani iných nemáme, no, a ešte ježa Olivera,"" pridal sa Roman. „Budete sa mat ku komu vrátiť... No tak sa choďte s nimi rozlúčiť, lebo o chvíľu odlietame."""
15;2;B;Leje lejak lejavý na strechy aj na hlavy, leje lejak, lejačisko na škôlku i na ihrisko. Hustý dáždik šuští v húšti to, čo nikto nerozlúšti. Je to strašne mokrá reč, každý radšej beží preč. Kto však hladí do dáždička, vidí kvapky- lesklé sklíčka. Kam tie kvapky letia, kam? Nech sa každý pozrie sám.
16;2;P;"Rozpršalo sa. Bol teplý dáždik a dedko povedal, že padá zlato. Majstroval na verande rozheganú stoličku. Maroš chvíľu hľadel na dedka, potom ho to omrzelo -a hybaj do dažďa. Dedko pohrúžený do roboty veru nezbadal, kde sa mu vnuk túla, a stará mama sa krútila v kuchyni okolo sporáka. Odrazu len pribehne chlapec na verandu a volá: „Pozri, dedko, našiel som slimáka."" „Keď prší, slimáky vychádzajú na prechádzku,"" vraví dedko. Až potom zbadal, ako Maroš premokol: „Prepánajána, nechoď na dážď takto naľahko, raz-dva prechladneš! Keby ta videla stará mama, mali by sme obaja po chlebe!"" Maroš položil slimáka na verandový múrik a prihovára sa mu: „Vyjdi, slimáčik, z domčeka!"" A slimáčik sa onedlho naozaj vytiahol z ulity a dal sa liezť. „Dedko, pozri sa, ako slimák vyplazuje oči."" Dedko sa zasmial: ,Vraj vyplazuje.""  Ale nezdvihol oči od roboty. „Len sa pozri! Pozri sa!"" kričí Maroš. Dedko nechal robotu a prišiel k múriku. A ako slimák vystrčí oči, · Maroš sa ich dotkne prstom a stopky s očami sa rýchlo schovajú. „Vidíš, dedko, vidíš?"" „Vidím, vidím, vnúčik, ale vyplazuje sa jazyk, a nie oči,"" vraví dedko. Ja vyplazujem jazyk, aj ty, dedko, vyplazuješ jazyk, stará mama tiež vyplazuje jazyk a najviac ho vyplazuje Viktorka, ale slimák vyplazuje OČI. Len sa lepšie prizri, dedko!"" „Ale veď aj riekanka vraví: Slimáčik-máčik, vystrč rožky, dám ti masla A na parožky...""  poúča dedko vnuka. Maroš na to: „Dedko, to nie sú parožky ani rožky, ale oči na stopkách. Darmo dedko tvrdil, že aj keď sú to oči na stopkách, slimák ich nevyplazuje, A on ich naozaj vyplazuje. ale vystrkuje. Maroš si len húdol svoje: „,Slimák vyplazuje oči, lebo nemá jazyk. Veď som mu hovoril: vyplaz jazyk, a on zakaždým vyplazil iba oči. A niečo predsa musí vyplazovať!"""
17;2;P;"Záhradná zelenina počula od kohosi, čo šiel okolo, že leto preletí ako vtáča-jarabáča. Preto vraj treba myslieť na zimu už teraz, aby nás neprekvapila. „Čo je to vlastne tá zima? ozvala sa inak mĺkva mrkva. „Zima, to je drkotanie zubami, keď niekto nie je dosť naobliekaný"" vysvetľuje jej pohotovo cibuľa. „A akej farby je zima? spýtal sa rajčiak. „Je biela ako ja,"" odpovedal karfiol. Ja odlietam na zimu za more,"" zašvitorila lastovička. Ja si nachystám z lístia teplú chyžu!"" zafučal v rohu záhrady jež. „A ja zaleziem čo najhlbšie do zeme,"" povedal jeho kamarát krt. Najväčšmi sa studenej zimy zľakli kapusta a kel. Začali sa horúčkovito obliekať: kabát na kabát, kabát na kabát, kabát na kabát...   Pór robil to isté, aj keď to nikto na ňom nepozoroval, lebo sa obliekal v temnej zemnej komôrke. Je smiešne ukazovať sa v horúcom lete naobliekaný ako cibuľa,"" poznamenal akoby nič. hlbšie do zeme, tak ako krt,"" nahlas premýšľal petržlen. „Ja sa tak hrubo naobliekať nechcem, radšej zaleziem Inokedy zasa zelenina počula, že aj ľadovo studená zima má svoje krásy. Vyzerá ako mladá nevesta. Celá je biela. Na hlave má z inovate závoj a pod nohami záveje mäkké ako perina. Najväčšia zimná krása je však snehuliak. A tak sa na zimu najviac tešia tí, čo sa rozhodli prezimovať vonku. Sú to známi otužilci: pór, chren a pažítka. Ale napokon nemohli obdivovať snehuliakovu nehu – pretože napadlo primnoho snehu. Ocitli sa pod hlbokou prikrývkou. Bola to krásavica mrkva, ktorá videla túto zimnú nádheru. A to celkom zblízka. Deti urobili z mrkvy nos snehuliakovi."
18;2;B;O Najprv šaty zelené, potom nosí červené. A keď už belasé má, s veľkou chuťou jest sa dá. Čo je to? o Sedí na hriadkach V samých záplatkách, kto ju okúsi, zaplakať musí. Čo je to? o Sedí pani v kríčku v červenom ručníčku. Čo je to? o Sedí pani v chládku v červenom kabátku, vlasy sú jej na slnci a ona je v chládku. Čo je to? O Plné bruško kamenia a červená suknička, jesenné sú znamenia, keď' si sadnú do kríčka. Čo sú to?
19;2;P;"Na rohu pod lipou zastala tučná predavačka gaštanov. Zatlačila vozík až k samému stromu a začala vyspevovať: „Gaštanýýý, pečené gaštanýýý! Teplé gaštanky! Gaš-ta-neč-ky!"" Z dvorov sa hneď začali zbiehať kupci. Predavačka len oči otvárala. Podoprela si boky, chytila do ruky lopatku a nedôverčivo si obzerala kupujúcich. Tí sa medzi sebou hádali, strkali, iba žaba na samom konci sedela a smutne gúľala okáľmi. Takú chuť mala na tie gaštany - a teraz ju všetci predbehli! „Tak dosť!"" dupla nohou predavačka a obrátila sa k prvému kupcovi. „Čo si želáte?"" Všetci zmĺkli, no najväčšmi sa zľakla hus, pretože stála na samom predku. Vytiahla dovysoka krk a začala: „Ga-ga-ga.""  Chcela iba jachtala, gagotala. povedať, že chce gaštany, ale stále Tučná tetka prekvapene zažmurkala, preložila si lopatku z jednej ruky do druhej a klop ňou hus po zobáku: „Čože? Ty mi tu chceš do večera gagotať? Ideš ho!"" Rad pred vozíkom sa zavlnil a pred predavačkou sa ocitol našuchorený kohút. Vypínal prsia a sekal vo vzduchu ostrohami, aby si dodal odvahy. „Koľko chceš tých gaštanov? spýtala sa netrpezlivo tetka. Kohút chcel povedať, že kilo, ale stále robil iba kikiki. „Ale už sa ber!"" zahnala sa po ňom namosúrená predavačka. Pred vozíkom s gaštanmi stála koza. Postavila sa na zadné nohy a maškrtne oňuchávala voňavý dym, ktorý sa dvíhal z horúceho plechu. „Koľko chceš  - kilo?"" spýtala sa predavačka kozy a už sa aj chystala naberať horúce gaštany. Koze sa od rozpáleného dymu pripálila brada. Chcela predavačke povedať, že chce menej, ale za nič na svete to nedokázala vysloviť. Dostala zo seba iba prvú slabiku a tú len donekonečna naťahovala: méćééméééé. Kôň sa zatiaľ nahol cez plech, že si všetky gaštany zoberie a ujde. Strčil pysk medzi gaštany a vyskočil vysoko, div že vozík neprevrátil. „Fíha! Fífffíha!"" Odcválal do svojho dvora, kde ho už čakal gazda. Na rad prišiel vrabec. Zatrepotal vo vzduchu krátkymi krídlami a pýta si gaštany: „Cviri, čviri! Štyri, štyri!"" Predavačka nabrala na lopatku štyri gaštany a ponúkla ich vrtkému vrabcovi. Vrabec vzal jeden do zobáka, ale hneď ho aj pustil. Gaštan ho popálil na jazyku a on s krikom odletel. „To sú mi teda kupci!"" hundrala namrzená predavačka, keď' sa všetky Juj, žaba! Vari aj ty chceš gaštany? A koľko?"" spytuje sa predavačka veselo. zvieratá rozutekali. Už chcela odísť, keď tu zrazu zbadá drobnú žabku. „Kvaky, kvaky, kvak, ja chcem plný vak! Žabka veselo odrapkala svoju prosbu a už aj podávala tučnej tete velikánsky vak. Predavačka vysypala do žabkinho vaku jeden plech gaštanov, potom aj druhý, žabka zaplatila a hop! Skočila za kameň, za druhý, za tretí a už jej nebolo."
20;2;P;"Majster Zachariáš mával v jarmočný deň bystré oči. Veru čosi pobadal, videl, ako si bratia Budkáčik a Dubkáčik šepkajú, aj si domyslel, o čom sa môžu rozprávať. A keďže nechcel prísť o učňov, ktorých mal iba raz v živote, nuž večer, keď bratia pospali, vzal povráža oboch si ich za nôžky priviazal. Veru ľahko mu bolo ráno učňov zobúdzať, nemusel sa báť, že mu svetom ujdú a on ich nikdy viac vidieť nebude. Žiaľno im bolo, smutno im bolo, no brúsiť museli, inej rady si nevedeli, a keď v jednej dedine všetko pobrúsili i všetky dáždniky poplátali, tískali brús do druhej dediny, z druhej do tretej, ba toľko dedín pochodili, že sa im už ani rátať nechcelo. V hanbe neobzerali sa už ani na domy, tým menej na ľudí, lebo im nik nechcel pomáhať. Až tu raz zastaví sa akási žena pri Zachariášovi a pekne sa mu prihovára. „Vitajte, už ste dávno u nás neboli, a či ste o prasiatkach Dubkáčikovi a Budkáčikovi vo svete nič nepočuli?"" „Veru som nepočul,"" odpovedal majster, „svet o nich v posledné časy neslýchal, azda sa už aj pominuli."" „Ej, to mi radšej ani nehovorte, dobrý majstrík, lebo by mi ich bolo ľúto,"" zaznel zasa ženský hlas a verní bratia obaja naraz poskočili. Známy im bol ten hlas, nuž trochu sa začali žene prizerať, a tu obaja naraz spoznali svoju gazdinú, od ktorej kedysi svetom ušli. „Už je po nás,, brat Budkáčik!"" „Už nám je smrť, brat Dubkáčik!"" zašepkali si bratia, za brús sa uchýlili. „Ak nás gazdiná uvidí, zaraz nás spozná a druhý raz už neujdeme spred mäsiara.""  Stúlili sa, uši opustili, oči prižmúrili a tak načúvali za brúsom. „Celý svet vie, že ste prasiatka radi mali,"" hovoril majster Zachariáš. „Ej, vie, aj môže vedieť, lebo takých prasiec viac na svete nebolo ani nebude."" „Len už neželáte, gazdinka, keď už aj z prasiat slanina nebude."" „Čože o slaninu, zavzdychala gazdiná, ,o slaninu ja dnes ani nedbám. Ale prasatá som mala tak rada, že mi je smutno od tých čias, ako ich nemám. Ani sa mi žiť nechce bez nich, a keby som ich ešte raz mala, za celý svet by ich zaklať nedala, iba by som ich do smrti zrnom chovala, tak by som sa s nimi zabávala."" Ako to bratia Dubkáčik a Budkáčik počuli, zaraz vyskočili, brús prekotili a razom vykríkli: „Gazdinka naša dobrá, veď sme my tu! Mäsiara sme sa nalákali, zato sme ušli, ale keď nás mäsiarovi nedáš, nechceme my inde byt, iba u teba!"" I pozhadzovali ľudské šaty, na štyri nohy sa spustili, zakrochkali, chvostíkmi zakyvkali a gazdiná hneď' pľasla dlaňami, lebo ich spoznala. Usmiala sa, po chrbte ich potľapkala, Zachariášovi ďakovala a taká bola rozveselená, keď vchodila do dvora, že ju gazda skoro nepoznal. A čo sľúbila, to zachovala, prasiatkam ublížiť nedala, ani sama im nič zlé nevykonala, a že sa vo svete naučili aj ľudským spôsobom, večierkami ich vždy do chyže voviedla. Mašličky im na krk uviazala, za stôl ich posadila, a keď sa do chyže naschádzalo ľudí, verní bratia Dubkáčik a Budkáčik rozprávali ľudom o svojich cestách. Veru rozprávajú i dnes."
21;2;P;"Tuláčik bol malý psík. Bol ozajstný, ryšavý a smiešny. Čosi medzi postávačom a darmošľapom. Kamkoľvek sa rozbehol, vždy sa zatúlal. Raz sa rozbehol domov- a aj tak sa zatúlal. Našli ho spať na ceste. Bol schúlený a vyzeral ako ryšavé klbko viny. „Ááááách, zívol si Tuláčik, keď sa zobudil. „Som práve na ceste,"" povedal. A túlal sa ďalej, akoby sa nechumelilo. Ale teraz sa zatúlal nesmierne ďaleko. A stratil sa. „Uááááá,"" rozplakal sa Tuláčik, pretože obloha stmavla a vyzerala ako hlboké jazero. Oveľa hlbšie ako koniec Tuláčikových labiek. „Uáááá,"" plakal Tuláčik, kým nezaspal. Snívalo sa mu o Niečom, na čo sa nedá zabudnúť. Chcel sa za Niečím rozbehnúť, ale reťaz ho nepustila. Tuláčik ju držal silno v zuboch, pretože bola celá z kostí. Bolo to hrozné. Potom sa zobudil. Keď Tuláčik otvoril oči, uvidel svetlo a Kláru. Klára bola malé dievčatko. Práve písala do trávy svoje meno KLARA. „Keby nebola reťaz z kostí, pustil by som ju. Keby som ju pustil, určite by som videl Niečo, na čo sa nedá zabudnúť"" vzdychol si Tuláčik. Vtom si spomenul, aké bolo v noci všetko strašidelné. Ako mu bolo zima. Ako mu bolo smutno. A povedal Kláre: „Poďme rýchlo domov."" Klára práve písala posledné písmeno A. „Ale ja neviem, KDE TO JE,"" povedala. „To je jednoduché, povedal Tuláčik. „Všade môžeš chodiť. Nikde nie si sama. V každom rohu je príjemne. Klára chvíľu hľadela na trávu, z ktorej vietor odvial jej meno. Potom sa pozrela na Tuláčika. A rozbehla sa domov. Keď došli, bola už temná noc. Ale na oblohe svietil veľký mesiac. Žiaril ako oko velikánskeho zvieratka."
22;2;P;"Klára sedela vedľa Tuláčika a premýšľala, či jej dačo nenapadne. A v tej chvíli jej voľačo napadlo. Rozbehla sa do kuchyne. Spravila piškótové cesto. Cesto povaľkala a na koncoch spravila po dve guľky. Potom to všetko vložila do pece. A upiekla piškótovú kosť. „Tuláčik! Ťuláčik!"" volala Klára, keď bola piškótová kosť na stole. „Urobila som ti kosť!"" Tuláčik pribehol do kuchyne. „Naozajstná kosť! A aká veľká."" Potom si odhryzol z kosti a prihovoril sa Kláre: „No vidíš. Vonia ako piškótový kolá."" Potom si znova odhryzol a celkom sa poplietol: „Keby tá kosť nebola sladká, povedal by som, že je to koláč.""  A opäť si odhryzol a vysvetľoval: „Toto je taká mäkká kosť, že ju môžeš jest ako normálny koláč."" A podal Kláre kúsok piškótovej kosti. „Máš pravdu,"" povedala Klára. Jednoducho máš pravdu."" Veľmi si rozumeli. Klára sa tešila z toho, ako chutí Tuláčikovi koláč. Tuláčikovi sa páčilo, že Klára začala jest kosti. A ku tomu všetkému sa za oknom ako na zavolanie rozpršalo. Lebo dážď je tá najlepšia hudba k piškótovým hodom, kostiam a čakaniu na koniec dažďa."
